City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Catamarca,AR,77.58,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
592,Mata,PT,91.92,clear sky,40.683,-7.4592,Hostel EntryFik
593,Moyale,KE,71.85,overcast clouds,3.5167,39.0584,La Tahzan Guest House
595,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
596,Anguillara Sabazia,IT,90.37,few clouds,42.0875,12.2767,Country Relais I Due Laghi
598,Faranah,GN,76.84,moderate rain,10.0404,-10.7434,Chez mon oncle
599,Dzilam Gonzalez,MX,92.88,scattered clouds,21.2833,-88.9333,posadas
600,Trairi,BR,85.66,broken clouds,-3.2778,-39.2689,janelas do mar
602,Sarai Alamgir,PK,90.72,broken clouds,32.9012,73.7559,Tulip Riverside Hotel And Restaurant Jehlum
606,Llanes,ES,76.68,scattered clouds,43.4198,-4.7549,Hotel La Paz
609,Cefalu,IT,86.54,clear sky,38.0386,14.0229,Hotel La Giara
610,Sinnamary,GF,83.03,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
613,Celestun,MX,87.55,clear sky,20.8667,-90.4,Posada Lilia
614,Sinjhoro,PK,89.67,few clouds,26.0303,68.809,adil Mobile shop
617,Portland,US,73.94,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
618,Alenquer,BR,93.45,scattered clouds,-1.9417,-54.7383,Detinha Hotel
