City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Thai Binh,VN,83.05,overcast clouds,20.45,106.3333,Sweden Hotel
563,Kogon,UZ,82.44,clear sky,39.7228,64.5517,AFROSIYOB
566,Kutum,SD,84.18,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
567,Sfantu Gheorghe,RO,71.82,broken clouds,45.8667,25.7833,Hotel Park
568,Makakilo City,US,75.0,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
569,Fortuna,US,72.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
570,Wajir,KE,85.46,overcast clouds,1.7471,40.0573,Mahatallah Hotel
572,Ciuperceni,RO,86.86,few clouds,43.7667,24.95,Primăria Ciuperceni
574,Turayf,SA,92.91,clear sky,31.6725,38.6637,Turaif
577,Tokmak,UA,76.32,clear sky,47.2514,35.7058,Дом приезжих
578,Hope,US,93.25,clear sky,33.6671,-93.5916,Best Western Hope
579,Villarrica,PY,80.47,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
581,Naze,JP,79.57,few clouds,28.3667,129.4833,Shishime Hotel
583,Carballo,ES,87.22,few clouds,43.213,-8.691,Pazo do Souto
585,Erzurum,TR,74.88,few clouds,40.0,41.5,Saksi Koyu Muhtarligi
588,Morondava,MG,74.16,clear sky,-20.2833,44.2833,La Case Bambou
