City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Bethel,US,2022-07-29 21:45:46,41.3712,-73.414,85.19,62,20,10.36
126,Zhangye,CN,2022-07-29 21:45:46,38.9342,100.4517,72.23,35,38,6.91
127,Kouango,CF,2022-07-29 21:45:47,4.9934,19.9619,70.72,96,100,2.3
128,Marshall,US,2022-07-29 21:45:47,34.3834,-86.3333,96.51,51,40,6.91
129,Ubinskoye,RU,2022-07-29 21:45:47,55.3068,79.6802,56.26,92,35,9.04
130,Silvan,TR,2022-07-29 21:45:48,38.1419,41.0081,71.89,12,0,1.95
131,Sitka,US,2022-07-29 21:45:48,57.0531,-135.33,58.89,88,100,4.61
132,Lagoa,PT,2022-07-29 21:45:49,39.05,-27.9833,73.02,68,0,1.14
133,Ardatov,RU,2022-07-29 21:46:49,55.2421,43.097,61.83,92,54,5.7
134,Tasiilaq,GL,2022-07-29 21:46:49,65.6145,-37.6368,42.96,77,70,3.44
135,Saskylakh,RU,2022-07-29 21:46:50,71.9167,114.0833,63.61,67,75,3.31
136,Otavi,NA,2022-07-29 21:46:50,-19.65,17.3333,60.67,29,2,1.99
137,Altay,CN,2022-07-29 21:46:51,47.8667,88.1167,65.62,48,83,3.89
138,Mar Del Plata,AR,2022-07-29 21:46:51,-38.0023,-57.5575,59.02,81,0,4.61
139,Khatanga,RU,2022-07-29 21:46:52,71.9667,102.5,63.12,63,47,11.18
140,Palembang,ID,2022-07-29 21:46:52,-2.9167,104.7458,75.29,100,20,2.3
141,Norman Wells,CA,2022-07-29 21:46:53,65.282,-126.8329,66.24,39,40,8.05
142,Sagua De Tanamo,CU,2022-07-29 21:46:53,20.5819,-75.2414,83.21,69,91,6.53
143,Becicherecu Mic,RO,2022-07-29 21:46:54,45.8292,21.0514,72.21,83,9,7.72
144,Daru,PG,2022-07-29 21:46:54,-9.0763,143.2092,77.04,92,99,15.32
145,Eydhafushi,MV,2022-07-29 21:46:54,5.1033,73.0708,81.59,79,80,17.34
146,Noshiro,JP,2022-07-29 21:46:55,40.2039,140.0242,75.99,79,79,3.09
147,Coquimbo,CL,2022-07-29 21:46:56,-29.9533,-71.3436,56.93,82,100,9.22
148,Blackfoot,US,2022-07-29 21:46:56,43.1905,-112.345,94.87,12,97,6.93
149,Northam,GB,2022-07-29 21:46:56,51.0333,-4.2167,61.39,89,97,4.21
150,Saint-Francois,FR,2022-07-29 21:46:57,46.4154,3.9054,67.68,72,0,0.0
151,East London,ZA,2022-07-29 21:46:57,-33.0153,27.9116,62.2,63,3,6.53
152,Lukovetskiy,RU,2022-07-29 21:46:58,64.2956,41.9211,59.97,99,63,3.38
153,Akyab,MM,2022-07-29 21:46:58,20.15,92.9,82.42,81,100,5.82
154,Namatanai,PG,2022-07-29 21:46:58,-3.6667,152.4333,81.39,67,20,7.74
155,Upernavik,GL,2022-07-29 21:46:59,72.7868,-56.1549,42.78,89,100,7.47
156,Pierre,US,2022-07-29 21:46:59,44.3683,-100.351,90.52,35,0,12.66
157,Castro,BR,2022-07-29 21:47:00,-24.7911,-50.0119,48.7,57,0,4.41
158,Sainte-Marie,RE,2022-07-29 21:47:00,-20.8968,55.5496,68.41,85,100,20.71
159,Santarem,BR,2022-07-29 21:47:01,-2.4431,-54.7083,86.13,74,20,3.44
160,Llanes,ES,2022-07-29 21:47:01,43.4198,-4.7549,68.97,87,45,4.23
161,Dikson,RU,2022-07-29 21:47:02,73.5069,80.5464,40.59,96,100,16.22
162,Souillac,MU,2022-07-29 21:47:03,-20.5167,57.5167,68.38,77,75,12.66
163,Beira,MZ,2022-07-29 21:47:03,-19.8436,34.8389,59.09,100,20,6.91
164,Yellowknife,CA,2022-07-29 21:46:08,62.456,-114.3525,68.52,37,75,8.05
165,Khani,GE,2022-07-29 21:47:04,41.9563,42.9566,63.97,95,55,2.84
166,Linfen,CN,2022-07-29 21:47:04,36.0889,111.5189,74.91,77,7,2.8
167,Romitan,UZ,2022-07-29 21:47:05,39.9343,64.3814,75.15,53,0,6.91
168,Sistranda,NO,2022-07-29 21:47:05,63.7256,8.834,53.56,78,97,3.36
169,Jensen Beach,US,2022-07-29 21:47:06,27.2545,-80.2298,89.08,71,40,10.0
170,Kandrian,PG,2022-07-29 21:47:06,-6.2167,149.55,78.82,84,81,2.64
171,Bengkulu,ID,2022-07-29 21:47:06,-3.8004,102.2655,75.47,76,100,3.98
172,Hamilton,US,2022-07-29 21:46:25,39.1834,-84.5333,83.88,50,40,14.97
173,Jacqueville,CI,2022-07-29 21:47:07,5.2052,-4.4146,75.87,79,19,12.73
174,San Juan De Los Lagos,MX,2022-07-29 21:47:07,21.25,-102.3,76.41,50,90,5.66
175,Yenagoa,NG,2022-07-29 21:47:08,4.9247,6.2642,73.6,94,64,4.25
176,Kajaani,FI,2022-07-29 21:47:08,64.2273,27.7285,53.65,94,100,6.91
177,Bluff,NZ,2022-07-29 21:47:09,-46.6,168.3333,37.8,82,95,6.02
178,Conde,BR,2022-07-29 21:47:17,-7.2597,-34.9075,78.26,89,20,9.22
179,Berlevag,NO,2022-07-29 21:48:09,70.8578,29.0864,50.0,81,0,4.61
180,Bubaque,GW,2022-07-29 21:48:10,11.2833,-15.8333,79.23,79,92,17.25
181,Kaitangata,NZ,2022-07-29 21:48:10,-46.2817,169.8464,38.62,78,69,4.07
182,Marystown,CA,2022-07-29 21:48:10,47.1666,-55.1483,61.86,100,100,5.01
183,Esperance,AU,2022-07-29 21:48:11,-33.8667,121.9,50.58,73,20,22.59
184,Yeppoon,AU,2022-07-29 21:48:11,-23.1333,150.7333,55.18,66,98,9.1
185,Kushima,JP,2022-07-29 21:48:12,31.4583,131.2333,81.23,95,84,10.87
186,Hofn,IS,2022-07-29 21:48:12,64.2539,-15.2082,47.75,77,100,23.29
187,Pabna,BD,2022-07-29 21:48:13,24.0,89.25,81.61,82,98,7.36
188,Nhulunbuy,AU,2022-07-29 21:48:13,-12.2333,136.7667,74.01,78,100,11.5
189,Axim,GH,2022-07-29 21:48:13,4.8699,-2.2405,74.73,78,98,8.68
190,Neuquen,AR,2022-07-29 21:48:14,-38.9516,-68.0591,64.29,27,0,4.61
191,Mogadishu,SO,2022-07-29 21:48:14,2.0371,45.3438,75.96,80,67,17.78
192,Talnakh,RU,2022-07-29 21:48:15,69.4865,88.3972,60.21,75,3,4.74
193,Ruwi,OM,2022-07-29 21:48:15,23.5996,58.5507,85.69,79,100,5.03
194,Nome,US,2022-07-29 21:48:15,64.5011,-165.4064,58.15,51,20,12.66
195,Roebourne,AU,2022-07-29 21:48:16,-20.7833,117.1333,65.66,48,5,2.06
196,Adeje,ES,2022-07-29 21:48:16,28.1227,-16.726,75.87,83,20,17.27
197,Luderitz,NA,2022-07-29 21:48:17,-26.6481,15.1594,54.75,76,0,7.47
198,Bambous Virieux,MU,2022-07-29 21:48:17,-20.3428,57.7575,68.25,77,75,12.66
199,Kamenka,RU,2022-07-29 21:48:17,51.3223,42.7678,63.27,87,27,7.43
200,Artvin,TR,2022-07-29 21:48:18,41.1667,41.8333,64.9,82,1,0.74
201,Kavieng,PG,2022-07-29 21:48:18,-2.5744,150.7967,82.51,68,50,12.12
202,Ekibastuz,KZ,2022-07-29 21:48:19,51.6667,75.3667,67.28,77,100,7.16
203,Royan,FR,2022-07-29 21:48:19,45.6285,-1.0281,66.78,89,12,8.46
204,Derzhavinsk,KZ,2022-07-29 21:48:20,51.1,66.3167,61.97,94,100,11.86
205,Padang,ID,2022-07-29 21:48:20,-0.9492,100.3543,73.45,91,100,7.23
206,Coffs Harbour,AU,2022-07-29 21:44:55,-30.3,153.1333,53.56,62,8,9.22
207,Billings,US,2022-07-29 21:48:21,45.7833,-108.5007,98.67,23,20,5.75
208,Faanui,PF,2022-07-29 21:48:21,-16.4833,-151.75,79.21,70,17,25.1
209,Chifeng,CN,2022-07-29 21:48:21,42.2683,118.9636,68.02,87,3,3.62
210,Vao,NC,2022-07-29 21:48:22,-22.6667,167.4833,70.79,82,100,13.96
211,Pangai,TO,2022-07-29 21:48:22,-19.8,-174.35,78.91,83,75,19.57
212,Pitimbu,BR,2022-07-29 21:48:23,-7.4706,-34.8086,79.39,87,86,11.03
213,Bitung,ID,2022-07-29 21:48:23,1.4451,125.1824,76.05,85,70,10.89
214,Moyamba,SL,2022-07-29 21:48:24,8.1667,-12.4333,71.47,82,94,2.75
215,Acari,PE,2022-07-29 21:48:24,-15.4311,-74.6158,69.51,63,11,5.82
216,Bardiyah,LY,2022-07-29 21:48:25,31.7561,25.0865,77.34,78,0,10.31
217,Collie,AU,2022-07-29 21:48:25,-33.3667,116.15,45.3,83,98,11.68
218,Klaksvik,FO,2022-07-29 21:48:26,62.2266,-6.589,54.52,94,100,31.05
219,Sao Joao Da Barra,BR,2022-07-29 21:48:26,-21.6403,-41.0511,75.29,80,17,22.88
220,Yamada,JP,2022-07-29 21:48:27,39.4667,141.95,76.75,85,91,4.0
221,Ponta Do Sol,PT,2022-07-29 21:48:27,32.6667,-17.1,75.0,81,1,4.32
222,Talcahuano,CL,2022-07-29 21:48:28,-36.7167,-73.1167,55.08,76,0,10.36
223,Mahon,ES,2022-07-29 21:48:28,39.8885,4.2658,79.36,69,0,5.75
224,Alta Floresta,BR,2022-07-29 21:48:29,-9.8756,-56.0861,80.02,30,26,3.6
225,Dmytrivka,UA,2022-07-29 21:49:29,45.9717,28.9864,72.37,34,11,7.49
226,Luancheng,CN,2022-07-29 21:49:29,37.8792,114.6517,71.76,85,0,2.66
227,Vila Velha,BR,2022-07-29 21:44:52,-20.3297,-40.2925,78.75,79,0,12.66
228,Port Hedland,AU,2022-07-29 21:49:30,-20.3167,118.5667,55.45,94,2,5.75
229,Cabo San Lucas,MX,2022-07-29 21:49:04,22.8909,-109.9124,91.71,40,20,11.5
230,Lichinga,MZ,2022-07-29 21:49:31,-13.3128,35.2406,53.67,60,16,2.46
231,Leningradskiy,RU,2022-07-29 21:49:31,69.3833,178.4167,45.07,74,100,3.94
232,Hami,CN,2022-07-29 21:48:37,42.8,93.45,84.24,21,86,17.47
233,Hilo,US,2022-07-29 21:49:32,19.7297,-155.09,88.29,78,100,10.36
234,San Jeronimo,PE,2022-07-29 21:49:32,-11.9472,-75.2829,59.54,41,7,8.34
235,Cap Malheureux,MU,2022-07-29 21:49:33,-19.9842,57.6142,67.46,81,83,3.0
236,Rorvik,NO,2022-07-29 21:49:33,64.8621,11.2373,57.18,93,0,2.3
