,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,San Francisco,US,37.7749,-122.4194,84.02,70,35,5.01,scattered clouds
282,Palasa,IN,18.7667,84.4167,81.46,86,98,5.35,overcast clouds
283,Port Macquarie,AU,-31.4333,152.9167,44.89,100,96,0.0,overcast clouds
284,Achutupo,PA,9.2,-77.9833,86.58,67,98,0.51,overcast clouds
285,Toamasina,MG,-18.1667,49.3833,67.8,87,8,7.76,light rain
286,Along,IN,28.1667,94.7667,74.86,98,98,1.52,overcast clouds
287,Dumas,US,35.8656,-101.9732,89.74,33,0,18.41,clear sky
288,Ludvika,SE,60.1496,15.1878,67.33,71,100,8.99,overcast clouds
289,Medicine Hat,CA,50.0501,-110.6683,73.22,56,12,1.99,few clouds
290,Khorramshahr,IR,30.4397,48.1664,103.08,34,0,12.62,clear sky
291,Armacao De Pera,PT,37.1026,-8.357,81.09,64,0,8.95,clear sky
292,Solnechnyy,RU,50.7214,136.6319,62.35,98,65,2.93,broken clouds
293,Jaque,PA,7.5175,-78.1703,80.94,83,82,7.43,moderate rain
294,Laguna,US,38.421,-121.4238,90.01,59,0,3.44,clear sky
295,Ormara,PK,25.2088,64.6357,82.38,86,79,12.77,broken clouds
296,Garissa,KE,-0.4536,39.6401,80.92,45,49,21.99,scattered clouds
297,Kihei,US,20.785,-156.4656,76.84,77,40,12.66,scattered clouds
298,Novokayakent,RU,42.3937,47.9861,81.19,61,100,7.11,overcast clouds
299,General Roca,AR,-39.0333,-67.5833,54.63,31,0,10.78,clear sky
300,Nelson Bay,AU,-32.7167,152.15,52.0,98,100,3.0,overcast clouds
301,Wichian Buri,TH,15.6578,101.106,78.22,90,90,4.5,overcast clouds
302,Chifeng,CN,42.2683,118.9636,76.59,66,83,4.79,broken clouds
303,Coihaique,CL,-45.5752,-72.0662,41.09,90,100,7.52,overcast clouds
304,Manta,EC,-0.95,-80.7333,76.78,73,100,11.5,overcast clouds
305,Palmerston,AU,-12.486,130.9833,71.58,91,52,2.3,broken clouds
306,Vavoua,CI,7.3819,-6.4778,78.08,68,97,4.21,overcast clouds
307,Manggar,ID,-2.8833,108.2667,80.74,81,100,7.78,overcast clouds
308,Port Blair,IN,11.6667,92.75,78.78,93,100,15.93,overcast clouds
309,Quatre Cocos,MU,-20.2078,57.7625,68.11,66,0,12.17,clear sky
310,Tiznit,MA,29.5833,-9.5,99.59,14,38,11.1,scattered clouds
311,Galle,LK,6.0367,80.217,77.95,85,100,20.83,overcast clouds
312,Ogaminana,NG,7.5946,6.2248,77.92,77,94,4.14,overcast clouds
313,Ozu,JP,33.5,132.55,80.19,93,100,4.97,overcast clouds
314,Havelock,US,34.8791,-76.9013,92.95,70,78,8.99,broken clouds
315,Cabedelo,BR,-6.9811,-34.8339,77.67,79,31,9.91,scattered clouds
316,Chuy,UY,-33.6971,-53.4616,62.47,80,99,8.32,overcast clouds
317,Inta,RU,66.0317,60.1659,65.21,49,49,6.76,scattered clouds
